region,Gold,Silver,Bronze
Australia,5,3,2
Austria,20,25,28
Belarus,6,2,3
Bulgaria,0,2,2
Canada,38,30,24
China,12,12,15
Croatia,4,6,1
Czech Republic,6,8,7
Estonia,4,2,1
Finland,5,12,9
France,13,14,19
Germany,41,47,26
Italy,10,7,20
Japan,2,8,6
Kazakhstan,0,1,1
Latvia,0,4,3
Netherlands,18,15,16
Norway,34,26,32
Poland,5,6,5
Russia,29,26,28
Slovakia,2,2,1
Slovenia,2,4,6
South Korea,17,14,6
Sweden,14,13,20
Switzerland,20,9,16
UK,3,2,3
USA,37,44,43
Ukraine,1,0,3
